,data,epsp,config/sec,config/weight,config/saveFolder,config/simLabel
0,"epsp      0.000332
sec         apic_0
loc            0.5
weight      0.0001
dtype: object",0.00033226920193300005,apic_0,0.0001,./grid_batch,grid_search_00000
1,"epsp      0.000326
sec         apic_1
loc            0.5
weight      0.0001
dtype: object",0.000326053246425,apic_1,0.0001,./grid_batch,grid_search_00001
2,"epsp      0.000321
sec        apic_10
loc            0.5
weight      0.0001
dtype: object",0.00032096540037600003,apic_10,0.0001,./grid_batch,grid_search_00002
3,"epsp      0.000104
sec       apic_100
loc            0.5
weight      0.0001
dtype: object",0.00010413271476700001,apic_100,0.0001,./grid_batch,grid_search_00003
4,"epsp      0.000099
sec       apic_101
loc            0.5
weight      0.0001
dtype: object",9.875583420182467e-05,apic_101,0.0001,./grid_batch,grid_search_00004
5,"epsp      0.000099
sec       apic_102
loc            0.5
weight      0.0001
dtype: object",9.875582466634115e-05,apic_102,0.0001,./grid_batch,grid_search_00005
6,"epsp       0.00014
sec       apic_103
loc            0.5
weight      0.0001
dtype: object",0.00014032725025000002,apic_103,0.0001,./grid_batch,grid_search_00006
7,"epsp      0.000146
sec       apic_104
loc            0.5
weight      0.0001
dtype: object",0.00014608577286800002,apic_104,0.0001,./grid_batch,grid_search_00007
8,"epsp      0.000143
sec       apic_105
loc            0.5
weight      0.0001
dtype: object",0.00014269498250000002,apic_105,0.0001,./grid_batch,grid_search_00008
9,"epsp      0.000137
sec       apic_106
loc            0.5
weight      0.0001
dtype: object",0.000137108167194,apic_106,0.0001,./grid_batch,grid_search_00009
10,"epsp      0.000089
sec       apic_107
loc            0.5
weight      0.0001
dtype: object",8.949561507165528e-05,apic_107,0.0001,./grid_batch,grid_search_00010
11,"epsp      0.000046
sec       apic_108
loc            0.5
weight      0.0001
dtype: object",4.601487019328942e-05,apic_108,0.0001,./grid_batch,grid_search_00011
12,"epsp      0.000045
sec       apic_109
loc            0.5
weight      0.0001
dtype: object",4.452406309951585e-05,apic_109,0.0001,./grid_batch,grid_search_00012
13,"epsp      0.000321
sec        apic_11
loc            0.5
weight      0.0001
dtype: object",0.000320839800593,apic_11,0.0001,./grid_batch,grid_search_00013
14,"epsp      0.000045
sec       apic_110
loc            0.5
weight      0.0001
dtype: object",4.452407006283466e-05,apic_110,0.0001,./grid_batch,grid_search_00014
15,"epsp      0.000047
sec       apic_111
loc            0.5
weight      0.0001
dtype: object",4.726156633694246e-05,apic_111,0.0001,./grid_batch,grid_search_00015
16,"epsp      0.000144
sec       apic_112
loc            0.5
weight      0.0001
dtype: object",0.00014365918148900002,apic_112,0.0001,./grid_batch,grid_search_00016
17,"epsp      0.000312
sec       apic_113
loc            0.5
weight      0.0001
dtype: object",0.000311867811561,apic_113,0.0001,./grid_batch,grid_search_00017
18,"epsp      0.000325
sec       apic_114
loc            0.5
weight      0.0001
dtype: object",0.00032489929286300004,apic_114,0.0001,./grid_batch,grid_search_00018
19,"epsp      0.000321
sec       apic_115
loc            0.5
weight      0.0001
dtype: object",0.000321390709942,apic_115,0.0001,./grid_batch,grid_search_00019
20,"epsp      0.000321
sec       apic_116
loc            0.5
weight      0.0001
dtype: object",0.00032096078479000004,apic_116,0.0001,./grid_batch,grid_search_00020
21,"epsp      0.000321
sec       apic_117
loc            0.5
weight      0.0001
dtype: object",0.000321154962151,apic_117,0.0001,./grid_batch,grid_search_00021
